,0,1
0,inf,0.0
1,inf,1.0
2,inf,2.0
3,inf,3.0
4,inf,4.0
5,inf,5.0
6,inf,6.0
7,inf,7.0
8,inf,8.0
9,inf,9.0
10,inf,10.0
11,inf,11.0
12,inf,12.0
13,inf,13.0
14,inf,14.0
15,inf,15.0
16,inf,16.0
17,inf,17.0
18,inf,18.0
19,inf,19.0
20,inf,20.0
21,2072.8467561011253,21.0
22,2072.8467561011253,22.0
23,2072.8467561011253,23.0
24,2072.7675543372866,24.0
25,2072.7090289736666,25.0
26,2072.689813188364,26.0
27,2072.6708896837617,27.0
28,2072.5777084090496,28.0
29,2072.5226539570644,29.0
30,2072.450384843425,30.0
31,2072.4326018632296,31.0
32,2072.362599384086,32.0
33,2072.3109346130386,33.0
34,2072.14144258259,34.0
35,2072.024684717785,35.0
36,2071.876997161633,36.0
37,2071.634829984552,37.0
38,2071.4760324843173,38.0
39,2071.163682586598,39.0
40,2070.764317012959,40.0
41,2070.568003746371,41.0
42,2070.19693272099,42.0
43,2069.8614073439153,43.0
44,2069.6177510918274,44.0
45,2069.2235100004705,45.0
46,2068.3656146991284,46.0
47,2066.665015423986,47.0
48,2062.556825682065,48.0
49,2049.9127467911712,49.0
50,2036.1576432275588,50.0
51,2014.7357229894535,51.0
52,1981.077806970936,52.0
53,1968.0372506056494,53.0
54,1952.354884681412,54.0
55,1935.0526998308112,55.0
56,1922.1466567987388,56.0
57,1906.9871084939534,57.0
58,1891.043682879618,58.0
59,1878.0777701875554,59.0
60,1866.6328553273,60.0
61,1855.6140944015888,61.0
62,1842.7063915644,62.0
63,1826.3067778334812,63.0
64,1809.6305618511626,64.0
65,1795.5377364057244,65.0
66,1779.400886618478,66.0
67,1765.7822442107417,67.0
68,1751.3566006092028,68.0
69,1733.8285920929025,69.0
70,1716.2985203980525,70.0
71,1701.3819894533121,71.0
72,1685.3948299748579,72.0
73,1669.3176072604501,73.0
74,1655.3308221142986,74.0
75,1642.2135049007977,75.0
76,1623.9390166986052,76.0
77,1606.7916753351208,77.0
78,1590.777165204911,78.0
79,1578.4634192553194,79.0
80,1565.915895471584,80.0
81,1552.2285209539652,81.0
82,1537.6116324678703,82.0
83,1524.420017490091,83.0
84,1509.3509520186037,84.0
85,1495.3967675975414,85.0
86,1481.8976112325854,86.0
87,1468.9623666284208,87.0
88,1456.7610174553045,88.0
